Survey order	Use case	Must have	Nice to have	Not important	Weighted Score	Caleb Sunstrum	Barry Revzin	Alisdair Meredith	Lisa Lippincott	Timur Doumler	John Lakos	Attila Fehér	Fabio Fracassi	Rostislav Khlebnikov	Vittorio Romeo	Andrzej Krzemienski		Ville Voutilainen	Tomasz Kamiński	Miguel Ojeda	Gašper Ažman	Jonathan Caves		Joshua Berne	Balog Pal	Tom Honermann	John McFarlane	Roger Orr	Aaron Ballman	Dr Peter Brett	Thomas Russell	Tony Van Eerd	Hal Finkel	Herb Sutter	Ryan McDougall
1	As a: DeveloperIn order to: Reason explicitlyI want to: Annotate my program anywhere in the code with my current understanding of its structure or execution	18	10	0	1.64	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Nice to have	Must have	Must have	Must have	Must have	Nice to have	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Must have	Must have
2	As a: DeveloperIn order to: Reason explicitlyI want to: Express a spectrum of confidence in my annotations, from “unsure” and asking for validation, to “sure” and asking for some effect to be applied (eg. “maybe”, “definitely”, “assume” 'something')	9	10	9	1.00	Must have	Not important	Must have	Must have	Nice to have	Not important	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have	Must have	Not important	Not important	Must have	Not important	Not important	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Not important	Not important	Nice to have	Must have	Not important	Must have
3	As a: DeveloperIn order to: Reason explicitlyI want to: Express a spectrum of importance of my annotations, from "critical" (eg. bring the system down) to "minor" (eg. lead to a slower fallback)	4	10	14	0.64	Nice to have	Not important	Must have	Nice to have	Nice to have	Not important	Not important	Must have	Not important	Must have	Nice to have	Nice to have	Nice to have	Not important	Not important	Nice to have	Not important	Not important	Not important	Not important	Nice to have	Not important	Nice to have	Not important	Not important	Nice to have	Not important	Must have	Not important	Must have
4	As a: DeveloperIn order to: Reason explicitlyI want to: Express a spectrum of expected cost at compile or runtime of my annotations, from "unrunnable" to "expensive" to "cheap"	10	11	7	1.11	Not important	Not important	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Nice to have	Must have	Must have	Nice to have	Nice to have	Nice to have	Not important	Must have	Not important	Not important	Must have	Nice to have	Not important	Must have	Nice to have	Not important	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Must have
5	As a: DeveloperIn order to: Reason about executionsI want to: Have annotations affect the execution of my program in accordance with my expectations	13	9	6	1.25	Not important	Not important	Must have	Must have	Nice to have	Not important	Must have	Must have	Nice to have	Must have	Nice to have	Nice to have	Must have	Not important	Not important	Nice to have	Not important	Must have	Must have	Must have	Must have	Must have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Must have	Not important	Must have
6	As a: DeveloperIn order to: Reason about executionsI want to: Ensure annotations do not substantially change the meaning of my program when enabled	17	8	3	1.50	Not important	Must have	Nice to have	Not important	Must have	Must have	Must have	Must have	Must have	Nice to have	Nice to have	Must have	Must have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Not important	Must have	Nice to have	Must have	Must have
7	As a: DeveloperIn order to: Reason about executionsI want to: Have the effect of annotations on executions be user controllable (ie. decide whether “cheap” checks or “critical” terminates)	15	10	3	1.43	Nice to have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Must have	Not important	Nice to have	Nice to have	Not important	Must have	Must have	Must have	Must have	Nice to have	Not important	Must have	Nice to have	Nice to have	Must have	Not important	Must have
8	As a: DeveloperIn order to: Adapt and progress with my projectI want to: Be able to easily change my confidence, importance, or other properties of my annotations over time	10	17	1	1.32	Must have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Must have	Nice to have	Must have	Must have	Must have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Must have	Not important	Must have
9	As a: DeveloperIn order to: Have readable annotationsI want to: Have annotations with a succinct and elegant syntax	15	13	0	1.54	Must have	Must have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Must have	Must have	Must have	Must have	Must have	Must have	Nice to have	Must have	Nice to have	Must have	Must have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have	Nice to have	Must have	Must have
10	As a: DeveloperIn order to: Have readable annotationsI want to: Have annotation keywords or names with intuitive, clear, and unambiguous meanings	17	11	0	1.61	Nice to have	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have	Must have	Must have	Must have	Nice to have	Nice to have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have
